Lendo Dados Arquivo... f10-4096.dat
Transpondo dados...
/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 512 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 390 	 MUTACAO   : 0.10
* NUM MAXIMO NOS   : 128 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 6 	 
* M: 4096 	 N: 3
* NUM_OPBIN: 4 	 NUM_OPUN: 4
* NUM_CTES: 1 	 SEED: 11
*------------------------------------------------------------------
(/(*(exp(sin(X1)))(+(-(exp(sin(sin(sin(-(sin(X1))(/(X1)(X1)))))))(-(*(-inf)(-(sqrt(-inf))(exp(X1))))(exp(-inf))))(+(sin(exp(exp(X2))))(X2))))(/(sin(*(/(sqrt(cos(-(sin(/(exp(-inf))(cos(exp(X2)))))(sin(cos(X2))))))(exp(X1)))(sqrt(+(cos(exp(-(sin(-inf))(X2))))(+(sqrt(+(sqrt(sin(+(X1)(exp(X1)))))(X1)))(exp(*(/(X2)(sin(-(exp(exp(sin(-(-inf)(-inf)))))(cos(-(/(exp(-inf))(exp(X1)))(sqrt(+(+(X1)(sin(sqrt(X1))))(X2))))))))(+(sin(exp(sqrt(sin(cos(sqrt(X1)))))))(+(sin(X1))(X1))))))))))(-(-inf)(-inf)))) | Numero de nos: 112 | Erro: inf |
(X1) | Numero de nos: 1 | Erro: 38166.0156250000000000000000000 |
(+(sqrt(X1))(exp(X1))) | Numero de nos: 5 | Erro: 4026434.7500000000000000000000000 |
(*(/(X1)(X1))(+(-(/(sqrt(-(/(-inf)(X1))(-(/(+(X1)(sin(+(+(X2)(X1))(+(X1)(cos(cos(X1)))))))(+(cos(-inf))(-inf)))(-(+(X2)(X1))(sin(cos(sqrt(-(-(+(cos(-inf))(cos(*(+(+(sqrt(sqrt(X2)))(sin(X1)))(exp(/(X1)(-inf))))(X2))))(/(-inf)(*(sin(sqrt(+(+(X2)(sqrt(sin(*(/(*(/(cos(sqrt(+(cos(cos(sqrt(exp(X2)))))(/(-(-inf)(sqrt(sin(exp(sin(/(-inf)(sqrt(*(sin(*(X2)(-(/(+(exp(cos(X2)))(X2))(X2))(+(X2)(+(+(exp(cos(-inf)))(-inf))(exp(exp(X1))))))))(sin(+(-inf)(cos(-inf))))))))))))(X1)))))(sin(X2)))(X1))(X2))(X1)))))(-inf))))(X1))))(X1)))))))))(X2))(X1))(-inf))) | Numero de nos: 128 | Erro: inf |
(*(-inf)(sin(sqrt(sin(sin(X2)))))) | Numero de nos: 7 | Erro: inf |
(/(*(exp(-inf))(-inf))(+(*(-(X2)(-(/(sin(-(X1)(-inf)))(-(*(/(X1)(cos(X2)))(cos(+(sin(cos(/(exp(cos(/(+(sin(/(X1)(sin(+(cos(exp(+(+(-(/(*(X1)(/(X2)(*(*(cos(+(exp(sqrt(-inf)))(X1)))(exp(exp(X2))))(exp(cos(exp(*(*(X2)(/(+(-(exp(-inf))(+(/(sin(+(-inf)(/(/(X2)(sin(sin(*(exp(X1))(+(sqrt(X1))(X1))))))(cos(cos(-(/(sin(X2))(cos(sin(X1))))(-(-(cos(sqrt(X1)))(exp(X1)))(sqrt(sin(sin(X2)))))))))))(+(-(X1)(X2))(X1)))(X1)))(X2))(-(-inf)(-inf))))(X2))))))))(X2))(X1))(X1))(-inf))))(X1)))))(X2))(X2))))(X1))))(-inf))))(X2)))(-inf)))(-inf))(X2))) | Numero de nos: 128 | Erro: inf |
(sin(sin(-inf))) | Numero de nos: 3 | Erro: inf |
(sqrt(X1)) | Numero de nos: 2 | Erro: 4642.8198242187500000000000000 |
(exp(sqrt(sin(X1)))) | Numero de nos: 4 | Erro: 15360.8320312500000000000000000 |
(sin(+(cos(X2))(*(-inf)(+(+(sqrt(/(sqrt(/(-inf)(X1)))(X2)))(-(cos(-(sin(cos(sin(sqrt(sin(sin(exp(+(-inf)(/(-inf)(cos(*(cos(sin(-(*(+(-inf)(cos(+(*(cos(+(sin(/(X2)(X1)))(/(-inf)(-inf))))(/(-inf)(X2)))(-(+(-(exp(/(*(*(exp(-inf))(-inf))(sin(X1)))(X2)))(-inf))(-inf))(+(-inf)(cos(X1)))))))(sin(sin(cos(*(*(X1)(X2))(sqrt(sin(/(X1)(/(cos(/(/(*(sqrt(sqrt(-inf)))(exp(sin(cos(sin(-inf))))))(cos(X2)))(*(sqrt(-inf))(-(-inf)(/(*(X1)(/(/(cos(-(exp(*(X1)(exp(-inf))))(sqrt(+(X1)(X1)))))(X2))(sqrt(X1))))(-inf))))))(X1))))))))))(X1))))(X1))))))))))))(X1)))(X2)))(-inf))))) | Numero de nos: 128 | Erro: inf |
(X2) | Numero de nos: 1 | Erro: 38166.1093750000000000000000000 |
(X1) | Numero de nos: 1 | Erro: 38166.0156250000000000000000000 |
