/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 10 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 100 	 MUTACAO   : 0.50
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 8: 
(-(+(cos(0.78845))(/(*(*(cos(*(0.86834)(sin(sin(0.71880)))))(x1))(-(*(cos(-(sqrt(-(0.12845)(*(cos(0.96191))(x1))))(0.84634)))(0.22245))(x1)))(x1)))(0.58467)) | Numero de nos: 30 | Erro: 434176264241152.0000000000000000000000000 |
(0.74145) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(+(*(x1)(*(sin(x1))(/(sqrt(-(0.49605)(0.22297)))(sqrt(x1)))))(cos(/(+(+(+(sqrt(/(-(/(x1)(0.69002))(x1))(0.02014)))(0.35511))(x1))(x1))(0.75527)))) | Numero de nos: 30 | Erro: 434177002438656.0000000000000000000000000 |
(0.75030) | Numero de nos: 1 | Erro: 434176398458880.0000000000000000000000000 |
(0.59007) | Numero de nos: 1 | Erro: 434176532676608.0000000000000000000000000 |
(-(sqrt(sin(x1)))(+(*(x1)(x1))(*(0.19163)(x1)))) | Numero de nos: 11 | Erro: 434623075057664.0000000000000000000000000 |
(-(cos(/(x1)(x1)))(/(*(x1)(0.50539))(cos(0.61086)))) | Numero de nos: 11 | Erro: 434176230686720.0000000000000000000000000 |
(cos(-(-(0.02225)(x1))(*(x1)(0.93783)))) | Numero de nos: 8 | Erro: 434176633339904.0000000000000000000000000 |
(sin(-(sqrt(x1))(-(0.20124)(x1)))) | Numero de nos: 7 | Erro: 434176633339904.0000000000000000000000000 |
(/(-(*(x1)(0.00455))(sqrt(x1)))(/(sqrt(0.15540))(+(x1)(x1)))) | Numero de nos: 13 | Erro: 434304375062528.0000000000000000000000000 |

MELHOR: (-(sin(+(-(+(cos(x1))(*(sin(-(sqrt(+(/(/(*(0.94440)(0.99008))(0.10764))(0.46870))(0.68230)))(0.73040)))(0.86596)))(x1))(0.85433)))(/(*(x1)(0.50539))(cos(0.61086)))) | Numero de nos: 30 | Erro: 434176264241152.0000000000000000000000000 |
MELHOR: (-(+(cos(0.78845))(/(*(*(cos(*(x1)(sin(sin(0.71880)))))(x1))(-(*(cos(-(sqrt(-(x1)(*(cos(0.96191))(x1))))(0.84634)))(0.22245))(x1)))(x1)))(0.58467)) | Numero de nos: 30 | Erro: 434176096468992.0000000000000000000000000 |
