/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.50
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 4: 
(/(0.82885)(*(0.83938)(-(*(x1)(*(0.86297)(+(+(x1)(/(/(*(0.31965)(x1))(-(/(0.34587)(x1))(-(/(x1)(0.72622))(0.68029))))(x1)))(x1))))(0.27689)))) | Numero de nos: 29 | Erro: 434176633339904.0000000000000000000000000 |
(+(*(+(+(*(0.75503)(+(*(/(x1)(/(+(-(/(*(-(0.07627)(0.05286))(x1))(0.49669))(x1))(x1))(0.41426)))(x1))(x1)))(0.25236))(0.26762))(x1))(0.42378)) | Numero de nos: 29 | Erro: 430881856552960.0000000000000000000000000 |
(*(-(x1)(*(/(/(0.91046)(+(*(*(+(x1)(-(+(+(-(+(x1)(x1))(0.98938))(0.02176))(x1))(x1)))(0.32362))(x1))(0.40522)))(0.95926))(0.43135)))(x1)) | Numero de nos: 29 | Erro: 433729990295552.0000000000000000000000000 |
(-(*(/(/(-(x1)(x1))(+(*(0.56728)(x1))(x1)))(-(+(0.12842)(/(-(*(*(*(0.56346)(x1))(0.53487))(x1))(x1))(x1)))(x1)))(0.26478))(0.82031)) | Numero de nos: 29 | Erro: 434176767557632.0000000000000000000000000 |
(+(0.97180)(0.75362)) | Numero de nos: 3 | Erro: 434176163577856.0000000000000000000000000 |
(/(0.26395)(x1)) | Numero de nos: 3 | Erro: 434176633339904.0000000000000000000000000 |
(/(x1)(x1)) | Numero de nos: 3 | Erro: 434176364904448.0000000000000000000000000 |
(+(/(/(+(/(-(x1)(x1))(x1))(*(*(/(-(/(/(-(+(x1)(x1))(0.69341))(0.84451))(x1))(x1))(0.86425))(0.77190))(x1)))(0.62712))(0.17435))(x1)) | Numero de nos: 29 | Erro: 437842958352384.0000000000000000000000000 |
(-(+(x1)(*(/(/(x1)(0.87854))(0.03101))(-(0.32362)(-(+(0.51271)(0.32746))(0.95315)))))(x1)) | Numero de nos: 17 | Erro: 434182606028800.0000000000000000000000000 |
(*(+(/(0.52165)(-(0.64510)(0.40535)))(x1))(*(*(+(/(*(+(x1)(x1))(*(+(/(-(0.08213)(x1))(0.28980))(0.04395))(x1)))(x1))(0.00092))(0.87072))(0.26295))) | Numero de nos: 29 | Erro: 434438425018368.0000000000000000000000000 |
(+(0.08219)(+(-(x1)(x1))(x1))) | Numero de nos: 7 | Erro: 434176901775360.0000000000000000000000000 |
(/(x1)(/(/(0.80068)(+(-(x1)(*(*(*(+(-(+(-(/(0.64415)(+(0.98080)(0.00592)))(0.38047))(0.43486))(0.20530))(x1))(x1))(x1))(x1)))(x1)))(x1))) | Numero de nos: 29 | Erro: 2939536068531695100000.0000000000000000000000000 |
(0.47981) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(+(-(*(x1)(-(*(-(-(*(x1)(0.56236))(/(0.37846)(-(x1)(+(/(*(*(x1)(0.26380))(0.59337))(x1))(x1)))))(x1))(x1))(0.01767)))(0.10190))(0.47191)) | Numero de nos: 29 | Erro: 432652456820736.0000000000000000000000000 |
(0.67266) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(+(-(+(x1)(/(x1)(/(*(x1)(*(/(-(0.36903)(/(*(-(*(*(x1)(0.37013))(0.68096))(0.45506))(x1))(0.60347)))(0.45436))(x1)))(x1))))(0.56786))(0.85125)) | Numero de nos: 29 | Erro: 434176801112064.0000000000000000000000000 |
(-(-(/(/(*(-(+(x1)(*(*(-(-(*(/(/(0.50392)(x1))(x1))(x1))(x1))(0.03146))(x1))(0.28312)))(0.21986))(0.64861))(0.08850))(x1))(0.66124))(0.62154)) | Numero de nos: 29 | Erro: 434174284529664.0000000000000000000000000 |
